date,description,amount,category
2026-01-01,Office rent - Nordhavn,-14500,Rent
2026-01-01,Electricity and district heating,-3200,Utilities
2026-01-01,Salesforce CRM monthly,-4800,Software
2026-01-01,Client invoice - TDC Erhverv,44000,Revenue
2026-01-01,Client invoice - DSB,37000,Revenue
2026-01-01,Client invoice - Ørsted A/S,72000,Revenue
2026-01-01,Client invoice - Copenhagen Airport,93000,Revenue
2026-01-01,Patent filing fee,-14200,Legal
2026-01-01,Accountant fees - Deloitte,-11800,Professional Services
2026-01-02,Salary payments - 5 employees,-78000,Payroll
2026-01-02,Microsoft 365 Business Premium,-2800,Software
2026-01-02,Client invoice - LEGO A/S,104000,Revenue
2026-01-02,Client invoice - ISS A/S,54000,Revenue
2026-01-02,Client invoice - Ørsted A/S,120000,Revenue
2026-01-02,Client invoice - ISS A/S,52000,Revenue
2026-01-03,Payroll taxes and pension contributions,-23400,Payroll
2026-01-03,Slack Business+ subscription,-900,Software
2026-01-04,Pension provider - Danica Pension,-12400,Payroll
2026-01-04,Notion Teams subscription,-600,Software
2026-01-05,Mobile and internet - business,-2100,Utilities
2026-01-05,Cleaning service - CleanDK,-4200,Office
2026-01-05,Client invoice - Nordea Danmark,62000,Revenue
2026-01-05,Client invoice - Arla Foods,33000,Revenue
2026-01-05,Client invoice - Copenhagen Airport,44000,Revenue
2026-01-05,Courier and postage,-700,Office
2026-01-05,Corporation tax prepayment - Skattestyrelsen,-33200,Tax
2026-01-05,Accountant fees - Deloitte,-12400,Professional Services
2026-01-06,Loan repayment - Danske Bank,-18500,Financing
2026-01-06,Canteen and catering service,-6800,Entertainment
2026-01-06,Office supplies,-4600,Office
2026-01-06,Market research report,-8200,Research
2026-01-07,Travel - London conference,-12500,Travel
2026-01-07,Office supplies,-4800,Office
2026-01-08,Client invoice - Maersk A/S,106000,Revenue
2026-01-08,Client invoice - William Demant,42000,Revenue
2026-01-08,Client invoice - Ørsted A/S,100000,Revenue
2026-01-08,Client invoice - TDC Erhverv,33000,Revenue
2026-01-08,Client invoice - Arla Foods,52000,Revenue
2026-01-08,Client invoice - Ørsted A/S,127000,Revenue
2026-01-08,Domain and hosting - one.com,-800,Software
2026-01-08,VAT payment - Skattestyrelsen,-45100,VAT
